date_start,driver_number,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,lap_number,meeting_key,segments_sector_1,segments_sector_2,segments_sector_3,session_key,st_speed
2025-02-27T07:27:55.369000+00:00,14,30.663,39.952,23.216,234,264,False,93.831,4,1253,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 0]",9684,307
2025-02-27T07:31:37.182000+00:00,81,,49.779,33.011,136,140,True,,4,1253,"[None, 2064, 2064, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",9684,139
2025-02-27T07:40:45.173000+00:00,10,,45.411,24.849,222,227,True,,4,1253,"[None, 2064, 2064, 2048, 2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2049, 2049, 2049]",9684,180
2025-02-27T12:18:43.319000+00:00,87,30.938,41.585,23.666,229,257,False,96.189,4,1253,"[None, 2049, 2048, 2048, 2048, 2049, 2049, 2048, 2049, 2049]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2049, 2048, 2049, 2049, 2048]",9684,
2025-02-27T12:18:48.077000+00:00,6,30.781,41.736,23.577,231,248,False,96.094,4,1253,"[2048, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2048, 2048, 2049, 2049, 2049, 2049, 2049, 2048, 2048]","[2049, 2048, 2048, 2048, 2049, 2048, 0]",9684,291
2025-02-27T12:19:00.172000+00:00,16,30.952,55.717,25.489,162,186,False,112.158,4,1253,"[2049, 2049, 2049, 2048, 2048, 2049, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",9684,311
2025-02-27T12:21:05.610000+00:00,12,70.782,45.073,24.761,201,216,True,140.616,4,1253,"[2064, 2064, 2064, 2048, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",9684,205
2025-02-27T12:22:48.485000+00:00,7,29.49,39.564,22.815,235,268,False,91.869,4,1253,"[None, 2049, 2049, 2049, 2049, 2048, 2048, 2048, 2049, 2048]","[2049, 2049, 2048, 2048, 2049, 2048, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2049, 2049, 2049, 2048, 2049]",9684,315
2025-02-27T12:39:14.561000+00:00,5,29.824,40.482,23.314,238,271,False,93.62,4,1253,"[2049, 2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2048, 2048, 2048, 2049, 2048, 2049, 2049]","[2048, 2048, 2048, 2049, 2049, 2049, 2049]",9684,317
2025-02-27T12:54:22.500000+00:00,18,31.631,45.401,28.745,232,245,False,105.777,4,1253,"[2049, 2049, 2049, 2049, 2048, 2049, 2049, 2049, 2049, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",9684,278
2025-02-27T13:01:45.545000+00:00,4,29.673,39.628,26.793,236,269,False,96.094,4,1253,"[None, 2048, 2048, 2049, 2048, 2048, 2049, 2048, 2049, 2049]","[2049, 2048, 2048, 2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 2064]",9684,307
